draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
184,0.1911764706,-0.04839778432,0.02150618109
185,0.02585649644,-0.04763002339,0.01383162432
186,0.09444444444,-0.05978225374,0.02411320203
187,0.1275303644,-0.04763638916,0.01557862454
188,0.1564318035,-0.03863173523,0.02380241724
189,-0.04444444444,-0.05832610502,0.02036767427
190,0.1443181818,-0.06321737801,0.02299697898
191,0.1032608696,-0.04903598711,0.02184397092
192,0.08663512714,-0.05310297052,0.02475244601
193,0.09032258065,-0.04319883252,0.02200693989
194,0.09498480243,-0.04346465621,0.01792923088
195,0.06209343584,-0.05459596734,0.02330008509
196,-0.001358695652,-0.06510590254,0.02692531876
197,0.1041666667,-0.05050866728,0.01973969336
198,0.1050420168,-0.04963728145,0.01999879185
199,0.044397463,-0.04783370853,0.02641236804
200,0.04926108374,-0.06652551876,0.02617169789
201,0.009513742072,-0.04964486856,0.01933501407
202,-0.05670103093,-0.02700807572,0.02382898456
203,-0.1222826087,-0.07323310026,0.03077740808
204,0.08924731183,-0.05218376593,0.01892384175
205,0.04545454545,-0.0499158452,0.02015381246
206,0.02976190476,-0.06569635985,0.02313589252
207,0.1056231003,-0.04287547727,0.01365854568
208,0.06610942249,-0.02766212402,0.01625743122
209,0.03333333333,-0.07301634228,0.02821564371
210,0.109375,-0.04971670752,0.02682614342
211,0.0744047619,-0.04098738534,0.02663179547
212,0.03329809725,-0.04847631323,0.02213165765
213,0.03333333333,-0.0277108911,0.01342230194
214,0.0978710822,-0.0348131612,0.01316554903
215,-0.01111111111,-0.02323707078,0.02107421018
216,0.09566903685,-0.05379566281,0.02425989103
217,-0.01067323481,-0.04617032104,0.01998245196
218,0.1048582996,-0.05892481126,0.02465266997
219,0.01902173913,-0.05366195603,0.01686653298
220,0.1784946237,-0.04713294862,0.01539714959
221,0.1543465405,-0.02761037701,0.01233297934
222,0.01330573625,-0.04137534107,0.01694947286
223,-0.06929347826,-0.07011642471,0.01878300889
224,-0.003283302064,-0.06161463921,0.02272466228
225,-0.1032258065,-0.05250517116,0.02547370743
226,0.1519756839,-0.04930810815,0.02735761921
227,-0.04545454545,-0.06381154166,0.02503964743
228,-0.1258064516,-0.03603775644,0.01588025451
229,0.02222222222,-0.05502254785,0.02614480386
230,0.09032258065,-0.04209517539,0.02031925637
231,0.2828282828,-0.03668505081,0.0183006922
232,0.05570652174,-0.04068657395,0.02343062715
233,-0.04347826087,-0.03673282348,0.01211891249
234,0.01291793313,-0.03525259656,0.01810663689
235,-0.05614457831,-0.0254734146,0.01895304781
236,-0.005208333333,-0.04107656325,0.01886293073
237,0.001642036125,-0.06936511817,0.02419171446
